rank,team,total_xgf,total_xga,xgd,total_toi,xgd_per_60
1,thailand,294.74,221.66,73.08,304080,0.0144
2,pakistan,284.7,233.46,51.24,301873,0.0102
3,brazil,272.48,221.83,50.65,304278,0.01
4,mexico,263.96,222.76,41.19,308868,0.008
5,netherlands,242.5,201.8,40.7,310346,0.0079
6,uk,276.31,240.0,36.31,308052,0.0071
7,china,255.92,220.98,34.94,306341,0.0068
8,france,266.65,234.14,32.51,310605,0.0063
9,peru,244.55,214.93,29.62,313239,0.0057
10,guatemala,255.69,232.81,22.88,305294,0.0045
11,panama,257.46,241.39,16.06,304530,0.0032
12,serbia,277.29,264.17,13.11,302141,0.0026
13,south_korea,259.86,251.2,8.66,305210,0.0017
14,canada,241.13,233.58,7.55,303885,0.0015
15,morocco,249.5,243.62,5.88,309974,0.0011
16,new_zealand,241.26,238.33,2.93,303399,0.0006
17,india,239.34,237.93,1.4,307630,0.0003
18,saudi_arabia,218.96,230.97,-12.0,311374,-0.0023
19,germany,239.11,253.0,-13.89,301898,-0.0028
20,iceland,230.06,248.67,-18.61,305329,-0.0037
21,kazakhstan,209.81,231.42,-21.62,305424,-0.0042
22,philippines,213.59,236.13,-22.55,312727,-0.0043
23,indonesia,215.9,238.34,-22.44,306988,-0.0044
24,ethiopia,239.42,262.69,-23.27,302833,-0.0046
25,uae,211.4,242.36,-30.97,313437,-0.0059
26,switzerland,205.29,237.38,-32.09,311571,-0.0062
27,rwanda,223.81,256.12,-32.31,306018,-0.0063
28,usa,247.39,281.7,-34.3,305382,-0.0067
29,oman,244.94,279.49,-34.56,304951,-0.0068
30,singapore,257.02,299.98,-42.96,309864,-0.0083
31,vietnam,225.78,272.02,-46.24,309692,-0.009
32,mongolia,187.6,268.5,-80.9,307094,-0.0158
