team,games,wins,goals_for,goals_against,xg_for,xg_against,losses,win_pct,goal_diff_pg,xg_diff_pg,xg_share,z_xg_diff_pg,z_xg_share,z_goal_diff_pg,z_win_pct,strength_score,rank
thailand,82,50,294,248,294.7369,221.6617,32,0.6097560975609756,0.5609756097560976,0.891160975609756,0.5707546457329667,2.117112553569519,2.0087506295463866,1.1200787682331173,1.2990381056766578,1.8088078707071695,1
brazil,82,58,276,189,272.4793,221.82659999999998,24,0.7073170731707317,1.0609756097560976,0.6177158536585371,0.5512361879556769,1.4674946772939503,1.4577423152481919,2.1184098442669823,2.453738644055909,1.693864016853313,2
pakistan,82,49,263,212,284.7034,233.462,33,0.5975609756097561,0.6219512195121951,0.6248951219512195,0.5494450227668617,1.4845503153255437,1.4071775153761965,1.241826460432369,1.1547005383792512,1.383677366664943,3
netherlands,82,54,243,174,242.4986,201.8032,28,0.6585365853658537,0.8414634146341463,0.4962853658536586,0.5457970235547099,1.1790147986257038,1.3041940768594686,1.6801181523496755,1.876388374866284,1.3802676465529975,4
peru,82,52,256,178,244.5499,214.9336,30,0.6341463414634146,0.9512195121951219,0.3611743902439024,0.5322278166680631,0.8580344702481957,0.9211338013865729,1.899263998308329,1.5877132402714709,1.1550230856471442,5
china,82,47,239,193,255.917,220.9786,35,0.573170731707317,0.5609756097560976,0.42607804878048783,0.5366310781646968,1.0122247389214576,1.0454383813056518,1.1200787682331173,0.866025403784438,1.027479021866136,6
uk,82,39,244,211,276.3125,240.0014,43,0.47560975609756095,0.4024390243902439,0.44281829268292694,0.5351637831172084,1.0519941874112995,1.0040164728782661,0.8035347685150623,-0.28867513459481314,0.8562409427981824,7
mexico,82,38,236,253,263.9575,222.7647,44,0.4634146341463415,-0.2073170731707317,0.5023512195121949,0.5423165411398946,1.193425320720004,1.2059396568528178,-0.4139421534774564,-0.433012701892219,0.7124366076524932,8
panama,82,46,255,213,257.4552,241.3937,36,0.5609756097560976,0.5121951219512195,0.19587195121951215,0.516098562109689,0.46532891157542955,0.46580308486670496,1.0226806144737157,0.7216878364870328,0.602553687969066,9
france,82,37,241,265,266.6524,234.1395,45,0.45121951219512196,-0.2926829268292683,0.3964987804878049,0.5324614874961037,0.9419538878162554,0.9277303558135893,-0.584388922556409,-0.5773502691896256,0.4811990270404679,10
guatemala,82,42,231,236,255.688,232.81,40,0.5121951219512195,-0.06097560975609756,0.2789999999999998,0.523416677243305,0.6628144842650232,0.6723943191549787,-0.12174769219925188,0.14433756729740657,0.45644931599789546,11
serbia,82,41,269,264,277.2881,264.1742,41,0.5,0.06097560975609756,0.15992560975609757,0.5121097073609742,0.3799319374597035,0.3531972552387626,0.12174769219925183,0.0,0.28361822410640763,12
india,82,49,221,193,239.3359,237.9323,33,0.5975609756097561,0.34146341463414637,0.01711707317073185,0.5014704520435261,0.04066467392754594,0.05284985050291983,0.6817870763158105,1.1547005383792512,0.28333903499421287,13
south_korea,82,39,288,302,259.8572,251.2013,43,0.47560975609756095,-0.17073170731707318,0.10555975609756066,0.5084685999743669,0.25077611217543505,0.25040837375205366,-0.3408935381579053,-0.28867513459481314,0.07840512282589682,14
new_zealand,82,40,219,226,241.2646,238.3313,42,0.4878048780487805,-0.08536585365853659,0.03577195121951223,0.5030580953673707,0.08498267884843942,0.09766920465272426,-0.17044676907895265,-0.14433756729740657,0.014136396099447624,15
morocco,82,37,249,269,249.5033,243.6248,45,0.45121951219512196,-0.24390243902439024,0.07168902439024394,0.5059604188039578,0.17031012089133427,0.17960213001953934,-0.4869907687970074,-0.5773502691896256,-0.033593093772378804,16
canada,82,36,222,265,241.1339,233.5842,46,0.43902439024390244,-0.524390243902439,0.09206951219512197,0.5079517717988844,0.2187276209395774,0.23581825474758192,-1.0470301529135662,-0.7216878364870322,-0.12419282112171115,17
iceland,82,46,238,209,230.0624,248.6737,36,0.5609756097560976,0.35365853658536583,-0.2269670731707317,0.4805620466056352,-0.5392009446193563,-0.5373968465696369,0.7061366147556608,0.7216878364870328,-0.16359353012128414,18
saudi_arabia,82,39,195,205,218.9647,230.9676,43,0.47560975609756095,-0.12195121951219512,-0.14637682926829282,0.48666143773185433,-0.3477443820781825,-0.3652103315769534,-0.24349538439850374,-0.28867513459481314,-0.3253541451686025,19
ethiopia,82,43,267,247,239.4199,262.6881,39,0.524390243902439,0.24390243902439024,-0.28375853658536593,0.47682948688329996,-0.674119240439524,-0.6427674380419941,0.4869907687970074,0.28867513459481314,-0.33777985048940157,20
philippines,82,43,198,186,213.5851,236.1342,39,0.524390243902439,0.14634146341463414,-0.2749890243902437,0.4749298062146766,-0.6532856931174243,-0.6963956424250738,0.2921944612782044,0.28867513459481314,-0.38077106679398715,21
indonesia,82,41,221,210,215.9004,238.3377,41,0.5,0.13414634146341464,-0.27362560975609784,0.4753022698888534,-0.6500466573913642,-0.6858809499433636,0.2678449228383541,0.0,-0.41042224874428396,22
germany,82,36,253,274,239.1072,253.0021,46,0.43902439024390244,-0.25609756097560976,-0.16945000000000007,0.4858823029761884,-0.40255883282691146,-0.38720539559426176,-0.5113403072368579,-0.7216878364870322,-0.4523896687667504,23
kazakhstan,82,30,193,248,209.80530000000002,231.4215,52,0.36585365853658536,-0.6707317073170732,-0.2636121951219511,0.4755044344541175,-0.6262579969739313,-0.6801738209484376,-1.3392246141917705,-1.5877132402714709,-0.8784758007408797,24
