game,game_id,home_team,away_team,home_win_prob,predicted_winner,confidence
1,game_1,brazil,kazakhstan,0.7653,brazil,0.5306561985583105
2,game_2,netherlands,mongolia,0.7885,netherlands,0.5769012776983289
3,game_3,peru,rwanda,0.7353,peru,0.4705095852790784
4,game_4,thailand,oman,0.7037,thailand,0.407375654233314
5,game_5,pakistan,germany,0.6723,pakistan,0.3445604629211618
6,game_6,india,usa,0.6397,india,0.279478828510896
7,game_7,panama,switzerland,0.6397,panama,0.27935179659282916
8,game_8,iceland,canada,0.5709,iceland,0.14180190860414998
9,game_9,china,france,0.5904,china,0.18074605349093664
10,game_10,philippines,morocco,0.5388,philippines,0.07768279331075756
11,game_11,ethiopia,saudi_arabia,0.5235,ethiopia,0.047075685454657235
12,game_12,singapore,new_zealand,0.4748,new_zealand,0.05042874234681349
13,game_13,guatemala,south_korea,0.5556,guatemala,0.1112314692537808
14,game_14,uk,mexico,0.5386,uk,0.07710070464787644
15,game_15,vietnam,serbia,0.4327,serbia,0.13453740709741957
16,game_16,indonesia,uae,0.5576,indonesia,0.11511352404270636
