game,game_id,home_team,away_team,home_win_prob,predicted_winner
1,game_1,brazil,kazakhstan,0.6828,brazil
2,game_2,netherlands,mongolia,0.7438,netherlands
3,game_3,peru,rwanda,0.6634,peru
4,game_4,thailand,oman,0.696,thailand
5,game_5,pakistan,germany,0.6335,pakistan
6,game_6,india,usa,0.5936,india
7,game_7,panama,switzerland,0.6087,panama
8,game_8,iceland,canada,0.4971,canada
9,game_9,china,france,0.5406,china
10,game_10,philippines,morocco,0.4742,morocco
11,game_11,ethiopia,saudi_arabia,0.4991,saudi_arabia
12,game_12,singapore,new_zealand,0.4314,new_zealand
13,game_13,guatemala,south_korea,0.5281,guatemala
14,game_14,uk,mexico,0.5107,uk
15,game_15,vietnam,serbia,0.3968,serbia
16,game_16,indonesia,uae,0.5378,indonesia
