game,game_id,home_team,away_team,home_win_prob,predicted_winner,confidence
1,game_1,brazil,kazakhstan,0.7967,brazil,0.5934105553183215
2,game_2,netherlands,mongolia,0.8262,netherlands,0.6524282394109524
3,game_3,peru,rwanda,0.7616,peru,0.5231351715345594
4,game_4,thailand,oman,0.7589,thailand,0.5177246508971769
5,game_5,pakistan,germany,0.7128,pakistan,0.4256000490068095
6,game_6,india,usa,0.6898,india,0.3796822684556955
7,game_7,panama,switzerland,0.6824,panama,0.3648449947739074
8,game_8,iceland,canada,0.606,iceland,0.21206965802913613
9,game_9,china,france,0.6387,china,0.277316128564302
10,game_10,philippines,morocco,0.5761,philippines,0.15229655595175817
11,game_11,ethiopia,saudi_arabia,0.5831,ethiopia,0.16614267711163322
12,game_12,singapore,new_zealand,0.5149,singapore,0.029701305640359
13,game_13,guatemala,south_korea,0.6013,guatemala,0.20263577307772973
14,game_14,uk,mexico,0.5772,uk,0.15436708783891429
15,game_15,vietnam,serbia,0.4831,serbia,0.033875242948591566
16,game_16,indonesia,uae,0.6081,indonesia,0.21612727213708816
