game,game_id,home_team,away_team,home_win_prob_ml,predicted_winner_ml
1,game_1,brazil,kazakhstan,0.8038,brazil
2,game_2,netherlands,mongolia,0.7901,netherlands
3,game_3,peru,rwanda,0.759,peru
4,game_4,thailand,oman,0.7043,thailand
5,game_5,pakistan,germany,0.6871,pakistan
6,game_6,india,usa,0.6955,india
7,game_7,panama,switzerland,0.6623,panama
8,game_8,iceland,canada,0.6593,iceland
9,game_9,china,france,0.6582,china
10,game_10,philippines,morocco,0.6258,philippines
11,game_11,ethiopia,saudi_arabia,0.6106,ethiopia
12,game_12,singapore,new_zealand,0.5714,singapore
13,game_13,guatemala,south_korea,0.5943,guatemala
14,game_14,uk,mexico,0.5815,uk
15,game_15,vietnam,serbia,0.5463,vietnam
16,game_16,indonesia,uae,0.602,indonesia
